Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Center,-0.00168622520897688,-0.135799999965222,0.728721311650455,0,0,0,2.00914950311114,0.00336426036684631,-4.39347775699011E-05,2.21435248826384E-18,0.00383067188978387,1.29672294968782E-18,0.00196925138980645,0,0,0,0,0,0,package://growbot_export/meshes/Center.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://growbot_export/meshes/Center.STL,,Hip_asm-1/RBST04-2;Hip_asm-1/RBST04-1;Hip_asm-1/Hip main frame 01-3;Hip_asm-1/Hip main frame 02-1;Hip_asm-1/Hip main frame 02-2;Hip_asm-1/Hip main frame 01-1,CalfPrismaticL,PrismaticLeft,Calf_Prismatic_Left,prismatic,0,0,-0.281,0,0,0,Upper_Calf_Left,0,0,-1,100,1,-0.091,0,,,,,,,,
Hip_Pitch_Right,-0.00186585962403507,-0.0380536813635787,-0.0120251174948383,0,0,0,0.555373494422505,0.000826135189458119,2.27376006299108E-05,5.1025089318783E-06,0.00140202973894453,-6.81976322347102E-05,0.00151258139369779,0,0,0,0,0,0,package://growbot_export/meshes/Hip_Pitch_Right.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Hip_Pitch_Right.STL,,Hip pitch cople 01-2,CoordHipR,Axis13,Hip_Forward_Right,revolute,0.00117170298055136,-0.200466666631889,0.7322604109441,0,0,0,Center,0,-1,0,100,1,-3.14,3.14,,,,,,,,
Upper_Thigh_Right,-0.00262170043296694,-9.07451781876345E-05,-0.086034648811675,0,0,0,0.963249454363066,0.00133999068746769,-6.74013850649159E-07,5.07512957736631E-06,0.00113454565271432,-4.57903006998258E-06,0.0004688579154953,0,0,0,0,0,0,package://growbot_export/meshes/Upper_Thigh_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://growbot_export/meshes/Upper_Thigh_Right.STL,,Leg_asm_01-1/Pololu37D-1;Leg_asm_01-1/spur gear_am2-5;Leg_asm_01-1/screw-3;Leg_asm_01-1/spur gear_am2-6;Leg_asm_01-1/screw-2;Leg_asm_01-1/688shielded-7;Leg_asm_01-1/spur gear_am2-3;Leg_asm_01-1/688shielded-9;Leg_asm_01-1/screw-1;Leg_asm_01-1/688shielded-8;Leg_asm_01-1/spur gear_am2-4;Leg_asm_01-1/688shielded-6;Leg_asm_01-1/Gearbox bottom-1;Leg_asm_01-1/688shielded-4;Leg_asm_01-1/Gearbox top-1;Leg_asm_01-1/688shielded-2;Leg_asm_01-1/688shielded-5;Leg_asm_01-1/Leg top 03 holder 01-1;Leg_asm_01-1/top holder-1;Leg_asm_01-1/Brass Screw 01-2;Leg_asm_01-1/Brass Screw 01-1;Leg_asm_01-1/Brass Screw 01-3;Leg_asm_01-1/RBST03-1;Leg_asm_01-1/688shielded-1;Leg_asm_01-1/Leg top 03 holder 02-1;Leg_asm_01-1/688shielded-12;Leg_asm_01-1/688shielded-11;Leg_asm_01-1/688shielded-10,CoordLegR,HipMotorR,Hip_Thigh_Right,revolute,-0.000771702450901746,-0.0693333339215143,-0.0237604152867126,0,0,0,Hip_Pitch_Right,1,0,0,100,1,-3.14,0,,,,,,,,
Lower_Thigh_right,-0.000200936247169325,-0.000875191749592774,-0.152010909578842,0,0,0,0.962966169730279,0.00251869297171265,-1.12192810828349E-10,1.40904934294929E-06,0.00324539022670924,-8.32623749471051E-05,0.00120324727768126,0,0,0,0,0,0,package://growbot_export/meshes/Lower_Thigh_right.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Lower_Thigh_right.STL,,Leg_asm_01-1/Extensible part full-1;Leg_asm_01-1/RBST04-1;Leg_asm_01-1/hold knee wall-1;Leg_asm_01-1/688shielded-13,CoordThighPrismaticR,ThighPrismaticRmovement,Thigh_Prismatic_Right,prismatic,0,0,-0.265,0,0,0,Upper_Thigh_Right,0,0,1,100,5,-0.091,0,,,,,,,,
Upper_Calf_Right,-2.96330769924413E-05,-0.00842282752955459,-0.125432470790914,0,0,0,1.01964403283914,0.00202081851904576,3.85009524083605E-07,-6.53462813640334E-06,0.00186828520826864,-0.000133698643086674,0.000909756995742566,0,0,0,0,0,0,package://growbot_export/meshes/Upper_Calf_Right.STL,1,0.949019607843137,0.898039215686275,1,0,0,0,0,0,0,package://growbot_export/meshes/Upper_Calf_Right.STL,,Lower_Leg assembly-1/688shielded-4;Lower_Leg assembly-1/688shielded-2;Lower_Leg assembly-1/688shielded-1;Lower_Leg assembly-1/Gearbox bottom-1;Lower_Leg assembly-1/688shielded-3;Lower_Leg assembly-1/Gearbox top-1;Lower_Leg assembly-1/Pololu37D-1;Lower_Leg assembly-1/RBST02-1;Lower_Leg assembly-1/spur gear_am2-4;Lower_Leg assembly-1/spur gear_am2-3;Lower_Leg assembly-1/spur gear_am2-2;Lower_Leg assembly-1/screw-2;Lower_Leg assembly-1/screw-3;Lower_Leg assembly-1/screw-1;Lower_Leg assembly-1/688shielded-5;Lower_Leg assembly-1/688shielded-6;Lower_Leg assembly-1/688shielded-7;Lower_Leg assembly-1/spur gear_am2-1;Lower_Leg assembly-1/Brass Screw 01-1;Lower_Leg assembly-1/Brass Screw 01-2;Lower_Leg assembly-1/top holder-1;Lower_Leg assembly-1/Brass Screw 01-3;Lower_Leg assembly-1/688shielded-9;Lower_Leg assembly-1/688shielded-8;Lower_Leg assembly-1/688shielded-10;Lower_Leg assembly-1/688shielded-14;Lower_Leg assembly-1/688shielded-15;Lower_Leg assembly-1/knee hold-1,CoordKneeJointR,KneeRAxis,Knee_Right,revolute,0,-0.00220000035647239,-0.162500000000419,0,0,0,Lower_Thigh_right,0,1,0,100,1,-1.6,1.6,,,,,,,,
Knee_Tendon_Right,-0.0416099602673698,-6.72056448214331E-05,-0.0054705091143481,0,0,0,0.040512131127183,3.76652095147992E-06,9.25706054231564E-08,-4.06853303027063E-06,3.72969259716028E-05,1.21703634762936E-08,3.41778314807171E-05,0,0,0,0,0,0,package://growbot_export/meshes/Knee_Tendon_Right.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Knee_Tendon_Right.STL,,Lower_Leg assembly-1/2nd bar 6 bar system-1;Lower_Leg assembly-1/688shielded-13,KneeTendonR,TopKTaxis,KT_Right,revolute,0,-0.0469999999999994,-0.0310000000000015,0,0,0,Upper_Calf_Right,0,1,0,100,1,-1.2,1.2,,,,,,,,
Lower_Calf_Right,-8.88178419700125E-16,-2.77555756156289E-16,-0.0604129552713762,0,0,0,0.121668100006614,0.000265288052550417,-5.63427323197942E-20,-5.19379231167424E-18,0.000262930775623957,-4.0608681282725E-19,8.75998339639687E-05,0,0,0,0,0,0,package://growbot_export/meshes/Lower_Calf_Right.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Lower_Calf_Right.STL,,Lower_Leg assembly-1/Extensible part full lower leg-1;Lower_Leg assembly-1/688shielded-11;Lower_Leg assembly-1/688shielded-12,Coordinate System23,CalfRaxisPrismatic,Calf_Prismatic_Right,prismatic,0,0,-0.285999999990025,0,0,0,Upper_Calf_Right,0,0,-1,0,0,-0.091,0,,,,,,,,
Knee_Tendon_Motor_Right,-0.0400026138013436,0.000749857310544277,-0.00525918943425718,0,0,0,0.0687760119883091,7.9930090777083E-06,-1.92300954337005E-06,-7.18384781022086E-06,6.64600151508866E-05,-2.52820266262892E-07,6.16905518839109E-05,0,0,0,0,0,0,package://growbot_export/meshes/Knee_Tendon_Motor_Right.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Knee_Tendon_Motor_Right.STL,,Lower_Leg assembly-1/1st bar 6 bar system-1;Lower_Leg assembly-1/688shielded-20;Lower_Leg assembly-1/688shielded-21,MotorTendonCoordR,KTM,KTM_Right,revolute,0,-0.0782499999999959,-0.112750000000001,0,0,0,Upper_Calf_Right,0,1,0,100,1,-3.14,3.14,,,,,,,,
Tendon_Upper_RIght,-1.46773704301495E-10,0.00601103659179553,0.00163814227692383,0,0,0,0.137995269006574,0.000387606675771177,3.9547629461297E-13,-2.73690312435531E-13,0.000378944201590401,5.83152000721183E-05,3.276445580097E-05,0,0,0,0,0,0,package://growbot_export/meshes/Tendon_Upper_RIght.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Tendon_Upper_RIght.STL,,Lower_Leg assembly-1/Bar from bar system 02-1,LowerTendonR,T2RAxis,Tendon_Motor_Right,revolute,-0.081300385360781,0.019250000000005,-0.0106886547417581,0,0,0,Knee_Tendon_Motor_Right,0,1,0,100,1,-3.14,3.14,,,,,,,,
Tendon_Lower_Right,-2.22044604925031E-15,-1.11022302462516E-16,-0.0632632733455477,0,0,0,0.0655179290370533,7.89959219172594E-05,4.76764708684418E-21,-2.42876484603144E-18,8.06721496427806E-05,-1.33297215878158E-20,1.07975216002142E-05,0,0,0,0,0,0,package://growbot_export/meshes/Tendon_Lower_Right.STL,1,1,1,1,0,0,0,0,0,0,package://growbot_export/meshes/Tendon_Lower_Right.STL,,Lower_Leg assembly-1/Bar from bar system 01-1,TendonPrismaticR,AxisprismaticTendonR,Tendon_Prismatic_Right,prismatic,0,0.0194999999999909,-0.190749999990024,0,0,0,Tendon_Upper_RIght,0,0,-1,100,1,-0.08825,1,,,,,,,,
