Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Hip_base,1.38777878078145E-17,0,-0.0608999220171339,0,0,0,2.16985301872214,0.00584785662925047,-2.35645275808477E-19,-3.18044375661961E-19,0.00611255358513236,-2.57293776215433E-19,0.00582916453397125,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Hip_base.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Hip_base.STL,,HIP_SIMPLY-1,Hip_Base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hip_Pitch_L,-1.0563577401701E-07,0.0216931911827515,-0.00241845976396458,0,0,0,0.32535602722819,0.000594281721656322,4.33002987041711E-09,1.15119565169926E-09,0.000785087098155215,4.04257713811968E-05,0.000928754332776135,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Hip_Pitch_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Hip_Pitch_L.STL,,HIP_PITCH_SIMPLY-2,Hip_Pitch_L_CS,Hip_Pitch_L_A,HPL,revolute,0,0.07625,-0.0675,0,0,0,Hip_base,0,1,0,120,4,-1.57,1.57,,,,,,,,
UpperLeg_Top_L,-0.0525,2.66134278503749E-09,-0.0309840614697206,0,0,0,1.40303873996329,0.00499778747880465,8.95796534639693E-10,2.64773100463626E-20,0.0046917975627395,4.62982209728921E-10,0.00144288406396799,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Top_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Top_L.STL,,UPPERLEG_TOP_SIMPLY-1,UpperLeg_Top_L_CS,UpperLeg_Top_L_A,UTL,revolute,0.0525,0.0570760185919361,-0.0163013162520939,0,0,0,Hip_Pitch_L,-1,0,0,60,4,-1.57,0.4,,,,,,,,
UpperLeg_Bottom_L,2.83536091549852E-08,1.2057134679555E-08,-0.209677014672553,0,0,0,1.98499353977905,0.0126480228919219,2.07602217853427E-09,-2.17114898302252E-09,0.0134297424365327,-1.24230068195983E-09,0.00223915994987981,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Bottom_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Bottom_L.STL,,UPPERLEG_BOTTOM_SIMPLY-2,UpperLeg_Bottom_L_CS,UpperLeg_Bottom_L_A,UBL,prismatic,-0.0525,0,-0.07,0,0,0,UpperLeg_Top_L,0,0,1,2,2,-0.085,0,,,,,,,,
LowerLeg_Top_L,-1.81442389377007E-07,-0.0449958888579158,-0.0881149504565347,0,0,0,0.719066454277415,0.00286349087520249,8.57372292351143E-09,-7.28871991087424E-09,0.00274910774517955,3.6977839726651E-06,0.000937716075323998,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Top_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Top_L.STL,,LOWERLEG_TOP_SIMPLY-2,LowerLeg_Top_L_CS,Lowerleg_Top_L_A,LTL,revolute,0,0.045,-0.26,0,0,0,UpperLeg_Bottom_L,0,-1,0,120,4,-1.57,0,,,,,,,,
Fourbar_L,-0.069360430268336,-0.0133378957329969,-0.0338766338689787,0,0,0,0.744008715873282,0.00359937747479461,-0.00013879125898873,-0.000799710952795588,0.00465109326901828,-0.000453354697138623,0.00134008808450958,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Fourbar_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Fourbar_L.STL,,FOURBARSYSTM_LEFT_SIMPLY-1,Fourbar_L_CS,Fourbar_L_A,FbL,fixed,0.0062769136818067,0.0005,-0.113,0,0,0,LowerLeg_Top_L,0,0,0,,,,,,,,,,,,
LowerLeg_Bottom_L,0,0,-0.124618842451205,0,0,0,0.307612145233778,0.00090072644484076,3.41212002678124E-22,3.15021938345415E-20,0.000899554746223108,1.1884173119214E-21,0.000162689372858535,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Bottom_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Bottom_L.STL,,LOWERBODY_BOTTOM_SIMPLY-2,LowerLeg_Bottom_L_CS,LowerLeg_Bottom_L_A,LBL,prismatic,0,-0.045,-0.0955,0,0,0,LowerLeg_Top_L,0,0,1,2,2,-0.085,0,,,,,,,,
Feet_L,0.0332952666356012,-0.02,-0.0326573535663368,0,0,0,0.19986246220588,9.87617063323067E-05,-1.22084292013499E-09,9.85803273885539E-06,0.000513345996215315,-1.08319964936551E-19,0.000566177747085522,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Feet_L.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Feet_L.STL,,FEET_SIMPLY-2,Feet_L_CS,Feet_L_A,FL,revolute,0,0.02,-0.2125,0,0,0,LowerLeg_Bottom_L,0,-1,0,17,2,-0.4,0.4,,,,,,,,
Hip_Pitch_R,-1.11548962332952E-05,-0.0216931946701764,-0.00241844109990508,0,0,0,0.325356061761199,0.000594289138978408,-1.8378200133792E-07,1.55464749499309E-06,0.000785087178928382,-4.04253816553895E-05,0.000928747380498247,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Hip_Pitch_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Hip_Pitch_R.STL,,HIP_PITCH_SIMPLY-3,Hip_Pitch_R_CS,Hip_Pitch_R_A,HPR,revolute,0,-0.07625,-0.0675,0,0,0,Hip_base,0,-1,0,120,4,-1.57,1.57,,,,,,,,
UpperLeg_Top_R,-0.0526435588731193,2.81388010114902E-09,-0.0307395179444002,0,0,0,1.4030387399691,0.00499771055849278,9.08794094317701E-10,-1.65359274409475E-05,0.00469179756214755,4.78239382095678E-10,0.00144296098359919,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Top_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Top_R.STL,,UPPERLEG_TOP_SIMPLY-2,UpperLeg_Top_R_CS,UpperLeg_Top_R_A,UTR,revolute,0.0524236050313718,-0.0570760185919361,-0.0165453482001895,0,0,0,Hip_Pitch_R,-0.999989181311603,0,0.00465158679917547,60,4,-0.4,1.57,,,,,,,,
UpperLeg_Bottom_R,-0.000975304415357731,1.12220205350511E-08,-0.209674746330614,0,0,0,1.98499354243987,0.0126477976360464,2.09090443798804E-09,-4.84190466806335E-05,0.0134297424693075,-1.19394871552355E-09,0.00223938518945266,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Bottom_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/UpperLeg_Bottom_R.STL,,UPPERLEG_BOTTOM_SIMPLY-1,UpperLeg_Bottom_R_CS,UpperLeg_Bottom_R_A,UBR,prismatic,-0.052825,0,-0.06981,0,0,0,UpperLeg_Top_R,0.0046516,0,0.99999,2,2,-0.085,0,,,,,,,,
LowerLeg_Top_R,1.81442389363129E-07,0.0449958888579158,-0.0881149504565346,0,0,0,0.719066454277415,0.00286349087520249,8.57372292336113E-09,7.28871991081678E-09,0.00274910774517955,-3.69778397266554E-06,0.000937716075323998,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Top_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Top_R.STL,,LOWERLEG_TOP_SIMPLY-1,LowerLeg_Top_R_CS,LowerLeg_Top_R_A,LTR,revolute,-0.0012094125677856,-0.045,-0.259997187141017,0,0,0,UpperLeg_Bottom_R,0,-1,0,120,4,-1.57,0,,,,,,,,
Fourbar_R,-0.0693604302683361,0.0133378957329969,-0.0338766338689787,0,0,0,0.744008715873282,0.00359937747479461,0.00013879125898873,-0.000799710952795588,0.00465109326901829,0.000453354697138624,0.00134008808450958,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Fourbar_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Fourbar_R.STL,,FOUBARSYSTM_RIGHT_SIMPLY-1,Fourbar_R_CS,Fourbar_R_A,FBR,fixed,0.00627691368180673,-0.000500000000000028,-0.113,0,0,0,LowerLeg_Top_R,0,0,0,,,,,,,,,,,,
LowerLeg_Bottom_R,0,1.38777878078145E-17,-0.124618842451205,0,0,0,0.307612145233778,0.000900726444840759,3.05669085732486E-22,2.91268507661966E-20,0.000899554746223108,-1.29925563291623E-20,0.000162689372858535,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Bottom_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/LowerLeg_Bottom_R.STL,,LOWERBODY_BOTTOM_SIMPLY-1,LowerLeg_Bottom_R_CS,LowerLeg_Bottom_R_A,LBR,prismatic,0,0.045,-0.095501,0,0,0,LowerLeg_Top_R,0,0,1,2,2,-0.085,0,,,,,,,,
Feet_R,0.0332952666356011,0.0200000000000001,-0.0326573535663368,0,0,0,0.199862462205881,9.87617063323069E-05,-1.22084292015837E-09,9.85803273885524E-06,0.000513345996215317,7.57427686054585E-20,0.000566177747085524,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Feet_R.STL,0.772549019607843,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://GR-0X-LIMITS Feb 15/meshes/Feet_R.STL,,FEET_SIMPLY-1,Feet_R_CS,Feet_R_A,FR,revolute,0,-0.02,-0.2125,0,0,0,LowerLeg_Bottom_R,0,1,0,17,2,-0.4,0.4,,,,,,,,
